# simd reglog — vendor app driving sim/fpga over @simfpga
# columns: op plane sel=val  note
W cs1 0006 = 0000  config write
W cs1 000a = 0000  config write
W cs1 000f = 0000  config write
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs3 0012 = 0051  CS3 config write
W cs3 0032 = 00b8  CS3 config write
W cs3 0013 = 0051  CS3 config write
W cs3 0033 = 00b8  CS3 config write
W cs1 0043 = 0100  config write
W cs1 0042 = 0100  coupling CH2 (TRCP)
W cs3 0010 = 00ef  offset DAC CH1 low byte
W cs3 0030 = 0027  offset DAC CH1 high byte (latches)
W cs3 0011 = 00ef  offset DAC CH2 low byte
W cs3 0031 = 0027  offset DAC CH2 high byte (latches)
R cs1 0012 = 0052  version (live)
W cs1 0050 = 0000  config write
W cs3 0014 = 0093  CS3 config write
W cs3 0034 = 007d  CS3 config write
W cs3 0015 = 0093  CS3 config write
W cs3 0035 = 007d  CS3 config write
W cs1 0027 = 000a  trigger LEVEL cal32 byte
W cs1 0028 = 0000  trigger LEVEL cal32 byte
W cs1 0029 = 0000  trigger LEVEL cal32 byte
W cs1 002a = 0000  trigger LEVEL cal32 byte
W cs1 0022 = 0003  coupling CH1 (TRCP)
W cs1 0023 = 0000  config write
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
R cs1 000e = ffff  idle
W cs1 000e = 0000  config write
W cs1 007f = 0000  config write
W cs1 0001 = 0000  config write
W cs1 0002 = 0000  config write
W cs1 0004 = 0000  config write
W cs1 0008 = 0000  config write
W cs1 007a = 0000  config write
W cs1 007b = 0000  config write
W cs1 007c = 0000  config write
W cs1 007d = 0000  config write
W cs1 007e = 0000  config write
W cs1 0075 = 0000  config write
W cs1 0076 = 0000  config write
W cs1 0077 = 0000  config write
W cs1 0078 = 0000  config write
W cs1 0079 = 0000  config write
W cs1 0070 = 0000  config write
W cs1 0071 = 0000  config write
W cs1 0072 = 0000  config write
W cs1 0073 = 0000  config write
W cs1 0074 = 0000  config write
W cs1 006b = 0000  config write
W cs1 006c = 0000  config write
W cs1 006d = 0000  config write
W cs1 006e = 0000  config write
W cs1 006f = 0000  config write
W cs1 005f = 0000  config write
W cs1 0060 = 0000  config write
W cs1 0061 = 0000  config write
W cs1 0062 = 0000  config write
W cs1 0063 = 0000  config write
W cs1 005a = 0000  config write
W cs1 005b = 0000  config write
W cs1 005c = 0000  config write
W cs1 005d = 0000  config write
W cs1 005e = 0000  config write
W cs1 001d = 0000  config write
W cs1 001e = 0000  config write
W cs1 0006 = 0000  config write
W cs1 000a = 0000  config write
W cs1 000f = 0000  config write
W cs1 007f = 0000  config write
W cs1 0001 = 0000  config write
W cs1 0002 = 0000  config write
W cs1 0004 = 0000  config write
W cs1 0008 = 0000  config write
W cs1 007a = 0000  config write
W cs1 007b = 0000  config write
W cs1 007c = 0000  config write
W cs1 007d = 0000  config write
W cs1 007e = 0000  config write
W cs1 0075 = 0000  config write
W cs1 0076 = 0000  config write
W cs1 0077 = 0000  config write
W cs1 0078 = 0000  config write
W cs1 0079 = 0000  config write
W cs1 0070 = 0000  config write
W cs1 0071 = 0000  config write
W cs1 0072 = 0000  config write
W cs1 0073 = 0000  config write
W cs1 0074 = 0000  config write
W cs1 006b = 0000  config write
W cs1 006c = 0000  config write
W cs1 006d = 0000  config write
W cs1 006e = 0000  config write
W cs1 006f = 0000  config write
W cs1 005f = 0000  config write
W cs1 0060 = 0000  config write
W cs1 0061 = 0000  config write
W cs1 0062 = 0000  config write
W cs1 0063 = 0000  config write
W cs1 005a = 0000  config write
W cs1 005b = 0000  config write
W cs1 005c = 0000  config write
W cs1 005d = 0000  config write
W cs1 005e = 0000  config write
W cs1 001d = 0000  config write
W cs1 001e = 0000  config write
W cs1 0006 = 0000  config write
W cs1 000a = 0000  config write
W cs1 000f = 0000  config write
W cs1 0035 = 0000  run/mode
W cs1 0022 = 0003  coupling CH1 (TRCP)
R cs1 0012 = 0052  version (live)
W cs1 0000 = 0000  config write
W cs1 0043 = 0100  config write
W cs1 0042 = 0100  coupling CH2 (TRCP)
W cs3 0014 = 0093  CS3 config write
W cs3 0034 = 007d  CS3 config write
W cs3 0015 = 0093  CS3 config write
W cs3 0035 = 007d  CS3 config write
W cs3 0012 = 0051  CS3 config write
W cs3 0032 = 00b8  CS3 config write
W cs3 0013 = 0051  CS3 config write
W cs3 0033 = 00b8  CS3 config write
W cs3 0010 = 00ef  offset DAC CH1 low byte
W cs3 0030 = 0027  offset DAC CH1 high byte (latches)
W cs1 0036 = 0000  divisor word
W cs1 001b = 0000  divisor word
W cs1 0019 = 0080  divisor class
W cs1 001a = 0050  divisor word
W cs1 001b = 0000  divisor word
W cs1 007f = 0000  config write
W cs1 0001 = 0000  config write
W cs1 0002 = 0000  config write
W cs1 0004 = 0000  config write
W cs1 0008 = 0000  config write
W cs1 007a = 0000  config write
W cs1 007b = 0000  config write
W cs1 007c = 0000  config write
W cs1 007d = 0000  config write
W cs1 007e = 0000  config write
W cs1 0075 = 0000  config write
W cs1 0076 = 0000  config write
W cs1 0077 = 0000  config write
W cs1 0078 = 0000  config write
W cs1 0079 = 0000  config write
W cs1 0070 = 0000  config write
W cs1 0071 = 0000  config write
W cs1 0072 = 0000  config write
W cs1 0073 = 0000  config write
W cs1 0074 = 0000  config write
W cs1 006b = 0000  config write
W cs1 006c = 0000  config write
W cs1 006d = 0000  config write
W cs1 006e = 0000  config write
W cs1 006f = 0000  config write
W cs1 005f = 0000  config write
W cs1 0060 = 0000  config write
W cs1 0061 = 0000  config write
W cs1 0062 = 0000  config write
W cs1 0063 = 0000  config write
W cs1 005a = 0000  config write
W cs1 005b = 0000  config write
W cs1 005c = 0000  config write
W cs1 005d = 0000  config write
W cs1 005e = 0000  config write
W cs1 001d = 0000  config write
W cs1 001e = 0000  config write
W cs1 0006 = 0000  config write
W cs1 000a = 0000  config write
W cs1 000f = 0000  config write
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs3 0012 = 0051  CS3 config write
W cs3 0032 = 00b8  CS3 config write
W cs3 0013 = 0051  CS3 config write
W cs3 0033 = 00b8  CS3 config write
W cs1 0043 = 0100  config write
W cs1 0042 = 0100  coupling CH2 (TRCP)
W cs3 0010 = 00ef  offset DAC CH1 low byte
W cs3 0030 = 0027  offset DAC CH1 high byte (latches)
W cs3 0011 = 00ef  offset DAC CH2 low byte
W cs3 0031 = 0027  offset DAC CH2 high byte (latches)
R cs1 0012 = 0052  version (live)
W cs1 0050 = 0000  config write
W cs3 0014 = 0093  CS3 config write
W cs3 0034 = 007d  CS3 config write
W cs3 0015 = 0093  CS3 config write
W cs3 0035 = 007d  CS3 config write
W cs1 0027 = 000a  trigger LEVEL cal32 byte
W cs1 0028 = 0000  trigger LEVEL cal32 byte
W cs1 0029 = 0000  trigger LEVEL cal32 byte
W cs1 002a = 0000  trigger LEVEL cal32 byte
W cs1 0022 = 0003  coupling CH1 (TRCP)
W cs1 0023 = 0000  config write
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs1 0000 = 0000  config write
W cs1 0021 = 00c0  arm setup (0xC0)
W cs1 0021 = 00c0  arm setup (0xC0)
W cs1 0057 = 0001  arm strobe
W cs1 0057 = 0000  arm strobe
W cs1 0021 = 00c3  arm-go (0xC3)
R cs1 0039 = 0000  not-done  (x7)
R cs1 0039 = 0001  done  (x667)
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
W cs3 000b = 0000  event-mask window open (strobe=0)
W cs3 000a = 0030  event-mask high byte staged
W cs3 0009 = 0010  event-mask low byte staged
W cs3 000b = 0001  event-mask flush (strobe=1) -> latched
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done  (x4)
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x28)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
